epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0652,2.40009,2.70148,2.02138,0.55502,0.06235,0.10993,0.07017,2.5917,4.73597,2.2847,2.499e-05,2.499e-05,2.499e-05
2,15.1152,2.41437,2.80168,2.12103,0.45908,0.07637,0.12292,0.08322,2.38305,3.88052,2.06517,5.71555e-05,5.71555e-05,5.71555e-05
3,19.2514,2.27571,2.52262,2.07218,0.57982,0.15056,0.15281,0.10362,2.11889,2.78102,1.83298,8.80015e-05,8.80015e-05,8.80015e-05
4,23.2152,2.05636,2.07733,1.82882,0.60804,0.17962,0.22327,0.15417,1.94604,1.93806,1.6912,0.000117528,0.000117528,0.000117528
5,26.0272,1.98181,1.7547,1.64844,0.77418,0.18203,0.24187,0.16428,1.85422,1.65559,1.62361,0.000145735,0.000145735,0.000145735
6,30.029,1.74372,1.65716,1.63436,0.76039,0.19897,0.25879,0.16789,1.77996,1.41618,1.57696,0.000172623,0.000172623,0.000172623
7,33.4259,1.85068,1.54258,1.58232,0.60636,0.218,0.2744,0.18038,1.72207,1.32572,1.53135,0.000198191,0.000198191,0.000198191
8,36.7369,1.77586,1.53519,1.56414,0.60162,0.24101,0.24378,0.14499,1.68198,1.25455,1.49239,0.000222439,0.000222439,0.000222439
9,40.3219,1.61487,1.36042,1.40616,0.46684,0.29532,0.24757,0.1431,1.65153,1.18713,1.46336,0.000245368,0.000245368,0.000245368
10,42.7477,1.70542,1.36556,1.43394,0.36307,0.31559,0.25969,0.14879,1.61668,1.13608,1.41932,0.000266978,0.000266978,0.000266978
11,44.921,1.59479,1.25179,1.37428,0.5126,0.21912,0.26307,0.15196,1.59776,1.10937,1.39603,0.000287268,0.000287268,0.000287268
12,46.9934,1.48494,1.1598,1.29278,0.45075,0.22866,0.26296,0.15221,1.59177,1.0909,1.38724,0.000306239,0.000306239,0.000306239
13,49.1047,1.45153,1.09755,1.27682,0.35263,0.26531,0.27298,0.15791,1.60631,1.08046,1.37367,0.00032389,0.00032389,0.00032389
14,51.3842,1.50926,1.09293,1.30424,0.65923,0.25844,0.28121,0.16618,1.58826,1.05882,1.35651,0.000340222,0.000340222,0.000340222
15,54.4111,1.43058,1.02569,1.25095,0.77097,0.2414,0.29529,0.17379,1.54086,1.02424,1.32373,0.000355235,0.000355235,0.000355235
16,57.9926,1.34726,1.05268,1.21317,0.65435,0.28772,0.30195,0.17915,1.52099,1.00296,1.31012,0.000368927,0.000368927,0.000368927
17,60.7939,1.40463,1.08071,1.23856,0.67561,0.28615,0.31432,0.19079,1.49636,0.97978,1.2916,0.000381301,0.000381301,0.000381301
18,62.8978,1.30404,0.94873,1.17545,0.66642,0.29567,0.3289,0.20575,1.46491,0.93657,1.2771,0.000392355,0.000392355,0.000392355
19,65.0231,1.34039,1.02684,1.21544,0.32116,0.35315,0.33255,0.20683,1.4431,0.92667,1.26374,0.000402089,0.000402089,0.000402089
20,67.165,1.30482,0.9555,1.17593,0.3642,0.33822,0.33673,0.20525,1.41871,0.91928,1.2499,0.000410504,0.000410504,0.000410504
21,69.3123,1.37472,0.98656,1.19242,0.4062,0.33186,0.3534,0.21561,1.41482,0.92354,1.24966,0.0004176,0.0004176,0.0004176
22,72.3476,1.32421,0.9169,1.15638,0.48768,0.32569,0.37318,0.22334,1.40737,0.924,1.24388,0.000423376,0.000423376,0.000423376
23,76.0623,1.35148,0.98213,1.22561,0.42239,0.34775,0.37192,0.23267,1.39265,0.90451,1.23742,0.000427832,0.000427832,0.000427832
24,78.9534,1.26711,0.91632,1.16295,0.43479,0.35747,0.37182,0.23082,1.38466,0.90294,1.23731,0.000430969,0.000430969,0.000430969
25,80.9012,1.26649,0.90555,1.17472,0.44261,0.42106,0.37518,0.23718,1.38218,0.90768,1.23024,0.000432787,0.000432787,0.000432787
26,83.1437,1.1994,0.87543,1.11725,0.42519,0.42749,0.36965,0.23834,1.38062,0.9145,1.22779,0.000420665,0.000420665,0.000420665
27,85.1919,1.2553,0.92746,1.13178,0.45301,0.48137,0.38296,0.24586,1.37358,0.91732,1.22452,0.000404172,0.000404172,0.000404172
28,87.4307,1.25929,0.88035,1.16151,0.48123,0.48137,0.39825,0.2622,1.35825,0.90385,1.21798,0.000387678,0.000387678,0.000387678
29,90.3112,1.24166,0.87402,1.15715,0.3605,0.49539,0.39558,0.26673,1.34105,0.89367,1.21134,0.000371185,0.000371185,0.000371185
30,94.0056,1.14816,0.84542,1.12778,0.34786,0.49629,0.39923,0.26418,1.33379,0.88748,1.20974,0.000354691,0.000354691,0.000354691
31,97.2992,1.22611,0.86559,1.13072,0.34888,0.49809,0.38956,0.2557,1.32294,0.87647,1.20652,0.000338198,0.000338198,0.000338198
32,99.3312,1.17638,0.79748,1.07331,0.36951,0.49809,0.38416,0.25565,1.31665,0.86491,1.20626,0.000321705,0.000321705,0.000321705
33,101.549,1.10281,0.78891,1.07207,0.38247,0.49989,0.39008,0.26004,1.31182,0.86158,1.20345,0.000305211,0.000305211,0.000305211
34,103.641,1.22431,0.8336,1.10204,0.3887,0.42045,0.39103,0.26448,1.30848,0.86083,1.20409,0.000288718,0.000288718,0.000288718
35,105.851,1.15972,0.80486,1.11176,0.35537,0.39688,0.39067,0.2649,1.30864,0.85896,1.20789,0.000272224,0.000272224,0.000272224
