epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4254,2.67727,3.6031,2.52996,0.53531,0.06386,0.1117,0.07156,2.59579,4.92167,2.21313,2.499e-05,2.499e-05,2.499e-05
2,143.044,2.42324,3.04588,2.16477,0.37691,0.13953,0.12633,0.08684,2.32298,3.72991,1.99802,5.71555e-05,5.71555e-05,5.71555e-05
3,210.247,2.37186,2.87939,2.01329,0.6188,0.15221,0.156,0.10401,2.12092,2.65555,1.8225,8.80015e-05,8.80015e-05,8.80015e-05
4,275.596,2.17655,2.19913,1.85705,0.73688,0.17485,0.22726,0.15409,1.99137,1.99565,1.70533,0.000117528,0.000117528,0.000117528
5,339.209,1.96337,1.86546,1.73772,0.76868,0.19192,0.23861,0.15978,1.89715,1.69282,1.63666,0.000145735,0.000145735,0.000145735
6,406.062,1.77348,1.67736,1.5866,0.70915,0.20631,0.25551,0.1665,1.8037,1.48281,1.57564,0.000172623,0.000172623,0.000172623
7,471.436,1.79459,1.59211,1.53821,0.60036,0.22252,0.26534,0.17456,1.73415,1.34613,1.53021,0.000198191,0.000198191,0.000198191
8,535.278,1.70768,1.46003,1.50642,0.50689,0.23959,0.2339,0.13557,1.69682,1.26459,1.4911,0.000222439,0.000222439,0.000222439
9,599.399,1.63486,1.2983,1.41273,0.40598,0.27377,0.23905,0.1394,1.65727,1.20262,1.44822,0.000245368,0.000245368,0.000245368
10,665.585,1.65361,1.32854,1.40536,0.60793,0.19703,0.24852,0.14717,1.60638,1.14597,1.40924,0.000266978,0.000266978,0.000266978
11,731.776,1.51643,1.19467,1.33639,0.59215,0.20062,0.25348,0.14911,1.5895,1.11332,1.39075,0.000287268,0.000287268,0.000287268
12,796.548,1.40936,1.1132,1.26555,0.54036,0.21786,0.263,0.15177,1.59545,1.07214,1.38321,0.000306239,0.000306239,0.000306239
13,865.264,1.54662,1.17704,1.39509,0.31058,0.26875,0.27236,0.15377,1.58374,1.04429,1.3605,0.00032389,0.00032389,0.00032389
14,930.453,1.47373,1.12025,1.27408,0.37725,0.25558,0.276,0.15836,1.55645,1.02466,1.34182,0.000340222,0.000340222,0.000340222
15,995.659,1.4537,1.06761,1.25009,0.33298,0.34029,0.3069,0.17637,1.52281,0.99397,1.30756,0.000355235,0.000355235,0.000355235
16,1060.08,1.42158,1.11779,1.27903,0.37972,0.28486,0.30981,0.18222,1.50473,0.97082,1.28959,0.000368927,0.000368927,0.000368927
17,1123.3,1.38722,1.03017,1.2443,0.25653,0.39763,0.32819,0.19012,1.49242,0.95136,1.27945,0.000381301,0.000381301,0.000381301
18,1186.03,1.31146,0.96016,1.22224,0.47289,0.32189,0.36144,0.21534,1.47565,0.92843,1.26351,0.000392355,0.000392355,0.000392355
19,1251.4,1.24435,0.96245,1.20856,0.37369,0.40418,0.36469,0.22488,1.46368,0.92947,1.25331,0.000402089,0.000402089,0.000402089
20,1314.77,1.36681,1.00688,1.1936,0.45046,0.35045,0.36919,0.22802,1.44298,0.91702,1.23991,0.000410504,0.000410504,0.000410504
21,1377.48,1.34263,1.01221,1.21856,0.5534,0.32459,0.38259,0.24262,1.41986,0.9064,1.22387,0.0004176,0.0004176,0.0004176
22,1445.48,1.22266,0.91251,1.16597,0.43164,0.34723,0.37217,0.23705,1.40949,0.9018,1.22468,0.000423376,0.000423376,0.000423376
23,1512.66,1.32539,0.97785,1.14036,0.38926,0.36374,0.38293,0.24522,1.39367,0.90011,1.22107,0.000427832,0.000427832,0.000427832
24,1576.34,1.29667,0.91369,1.14411,0.37519,0.37076,0.37544,0.24164,1.37268,0.88364,1.2141,0.000430969,0.000430969,0.000430969
25,1641.81,1.30314,0.92934,1.13952,0.38692,0.36896,0.37444,0.24252,1.35313,0.87786,1.20812,0.000432787,0.000432787,0.000432787
