epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,265.089,0.80777,0.50322,0.9068,0.8507,0.83482,0.88605,0.64694,0.75663,0.44675,0.91016,0.006436,0.006436,0.006436
74,518.66,0.81659,0.51171,0.90941,0.86853,0.82011,0.88552,0.64467,0.75832,0.44934,0.91085,0.0063865,0.0063865,0.0063865
75,779.74,0.81721,0.51406,0.91111,0.86399,0.81896,0.88965,0.65207,0.75785,0.44757,0.90987,0.006337,0.006337,0.006337
76,1035.89,0.81609,0.51132,0.90864,0.87687,0.79989,0.88108,0.64447,0.75832,0.44711,0.90869,0.0062875,0.0062875,0.0062875
77,1294,0.81263,0.50929,0.90766,0.87126,0.8177,0.88322,0.64864,0.75471,0.44329,0.90718,0.006238,0.006238,0.006238
78,1547.02,0.80899,0.5062,0.90666,0.85404,0.84559,0.88263,0.65082,0.7474,0.44093,0.90531,0.0061885,0.0061885,0.0061885
79,1805.36,0.80655,0.50596,0.90889,0.85571,0.82369,0.88574,0.65094,0.74844,0.44029,0.90478,0.006139,0.006139,0.006139
80,2064.58,0.80977,0.50652,0.9077,0.86242,0.82597,0.89305,0.65639,0.74523,0.43845,0.90456,0.0060895,0.0060895,0.0060895
81,2315.67,0.80484,0.50429,0.90512,0.84714,0.86052,0.89318,0.6564,0.74433,0.43688,0.90386,0.00604,0.00604,0.00604
82,2573.82,0.80302,0.50154,0.9063,0.8716,0.81254,0.88665,0.65214,0.74124,0.43705,0.90258,0.0059905,0.0059905,0.0059905
83,2828.98,0.80511,0.50162,0.90385,0.87358,0.82859,0.88727,0.65232,0.73954,0.43636,0.90197,0.005941,0.005941,0.005941
84,3093.65,0.79238,0.49494,0.90216,0.87732,0.8461,0.89349,0.65608,0.74062,0.43851,0.90304,0.0058915,0.0058915,0.0058915
85,3365.77,0.79607,0.49734,0.90309,0.88055,0.84805,0.89598,0.65853,0.73617,0.43554,0.90214,0.005842,0.005842,0.005842
86,3633.39,0.79244,0.49403,0.90284,0.87745,0.8332,0.8902,0.65626,0.73539,0.43336,0.90167,0.0057925,0.0057925,0.0057925
87,3895.78,0.79022,0.49515,0.9002,0.89029,0.8312,0.88812,0.65883,0.73641,0.4327,0.90221,0.005743,0.005743,0.005743
88,4151.97,0.7931,0.49593,0.9016,0.89204,0.83446,0.89691,0.66224,0.73275,0.43104,0.90184,0.0056935,0.0056935,0.0056935
89,4419.1,0.78886,0.49361,0.90126,0.86115,0.85193,0.8937,0.66379,0.73427,0.43155,0.90166,0.005644,0.005644,0.005644
90,4677.28,0.7906,0.49711,0.90184,0.86952,0.84431,0.89396,0.66625,0.73107,0.43056,0.90049,0.0055945,0.0055945,0.0055945
91,4936.34,0.78518,0.4883,0.89825,0.86544,0.84485,0.89211,0.65977,0.7327,0.43087,0.90052,0.005545,0.005545,0.005545
92,5195.44,0.78502,0.48833,0.90077,0.86056,0.83361,0.88968,0.6618,0.72879,0.42916,0.89901,0.0054955,0.0054955,0.0054955
93,5454.04,0.7816,0.48662,0.90079,0.85907,0.8344,0.88979,0.6643,0.72406,0.42495,0.89764,0.005446,0.005446,0.005446
94,5711,0.77733,0.48543,0.89566,0.90363,0.81271,0.89103,0.66081,0.7248,0.42432,0.89778,0.0053965,0.0053965,0.0053965
95,5972.19,0.78155,0.48589,0.89669,0.86229,0.84536,0.8975,0.66833,0.7235,0.42488,0.89782,0.005347,0.005347,0.005347
96,6229.59,0.77796,0.485,0.89844,0.87766,0.84454,0.89887,0.66875,0.72221,0.42266,0.89738,0.0052975,0.0052975,0.0052975
97,6482.57,0.77572,0.48428,0.89739,0.86429,0.84898,0.90328,0.67411,0.72233,0.42206,0.89707,0.005248,0.005248,0.005248
98,6735.25,0.77655,0.48156,0.89643,0.88404,0.83658,0.89424,0.67185,0.72114,0.42133,0.89642,0.0051985,0.0051985,0.0051985
99,6985.69,0.7768,0.48282,0.89696,0.90308,0.82437,0.89696,0.67143,0.71869,0.42043,0.89543,0.005149,0.005149,0.005149
100,7240.92,0.78552,0.48773,0.8988,0.88624,0.82682,0.89738,0.66888,0.71785,0.42073,0.89526,0.0050995,0.0050995,0.0050995
